"","SRR1617300","SRR1617301","SRR1617299","SRR1617302","SRR1617303","SRR1617304","SRR1617305","SRR1617306","SRR1617307","SRR1617308","SRR1617309","SRR1617310","SRR1617311","SRR1617312","SRR1617313","SRR1617315","SRR1617314","SRR1617316","SRR1617318","SRR1617317","SRR1617319","SRR1617320","SRR1617321","SRR1617322","SRR1617323","SRR1617324","SRR1617325","SRR1617327","SRR1617326","SRR1617328","SRR1617329","SRR1617331","SRR1617330","SRR1617332","SRR1617333","SRR1617334","SRR1617335","SRR1617336","SRR1617337","SRR1617338","SRR1617339","SRR1617340","SRR1617341","SRR1617342","SRR1617343","SRR1617345","SRR1617346","SRR1617344","SRR1617348","SRR1617347","SRR1617349","SRR1617350","SRR1617351","SRR1617352","SRR1617353","SRR1617354","SRR1617355","SRR1617356","SRR1617357","SRR1617358"
"551866",0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,4,0,0,0
"249496",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253167",0,0,3,0,2,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,1,42,0,0,0,1,0,1,0,0,6,0,0,11,1,2,1,0,0,18,32,0,18,5,86,1,5,0,0,0,0,5,3,0,0,3,1,0,0
"4401307",0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208293",0,0,16,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,6,2,0,0,2,0,0,4,0,0,0,31,0,0,2,4,22,0,0,0,50,32,0,1,21,2,0,1,0,0,3,0,12,7,0,0,16,1,0,0
"345742",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,3,1,3,0,1,4,0,1,0,0,5,0,0,0,11,2,0,0,3,144,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"873114",0,0,11,0,2,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,22,36,0,3,0,0,23,0,0,0,24,19,0,0,7,15,0,5,0,4,6,0,16,6,0,0,20,3,0,0
"357011",0,0,7,1,4,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,2,0,6,0,1,0,1,1,4,0,0,12,0,0,1,1,8,1,0,0,24,28,0,3,18,46,0,4,0,1,1,0,11,4,0,0,7,0,0,1
"227453",0,0,4,0,3,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,7,0,0,0,0,4,0,0,0,10,6,0,0,7,2,0,1,0,0,1,0,3,2,0,0,3,0,0,0
"568617",0,0,11,0,2,1,0,12,0,2,0,0,0,0,6,0,1,0,0,0,2,0,13,1,1,0,3,6,0,2,0,11,0,1,10,4,20,4,0,0,51,46,0,14,7,239,1,3,0,0,0,0,6,14,0,0,10,1,0,0
"4451980",0,0,10,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,10,0,0,0,12,2,0,0,4,0,0,2,0,0,7,0,2,3,0,0,1,1,0,0
"592723",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1073608",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0
"3240079",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,5,2,0,0,7,10,0,1,4,1,0,0,0,1,0,0,8,4,0,0,1,0,0,0
"210865",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,7,1,0,0
"671147",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"4377284",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,1,4,1,5,0,0,0,4,7,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
"181641",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,6,14,0,0,1,2,0,0,0,0,9,0,0,1,0,0,11,1,0,0
