"","SRR1617300","SRR1617301","SRR1617299","SRR1617302","SRR1617303","SRR1617304","SRR1617305","SRR1617306","SRR1617307","SRR1617308","SRR1617309","SRR1617310","SRR1617311","SRR1617312","SRR1617313","SRR1617315","SRR1617314","SRR1617316","SRR1617318","SRR1617317","SRR1617319","SRR1617320","SRR1617321","SRR1617322","SRR1617323","SRR1617324","SRR1617325","SRR1617327","SRR1617326","SRR1617328","SRR1617329","SRR1617331","SRR1617330","SRR1617332","SRR1617333","SRR1617334","SRR1617335","SRR1617336","SRR1617337","SRR1617338","SRR1617339","SRR1617340","SRR1617341","SRR1617342","SRR1617343","SRR1617345","SRR1617346","SRR1617344","SRR1617348","SRR1617347","SRR1617349","SRR1617350","SRR1617351","SRR1617352","SRR1617353","SRR1617354","SRR1617355","SRR1617356","SRR1617357","SRR1617358"
"860105",2,0,24,1,2,0,1,2,0,6,0,0,0,0,4,0,1,0,1,0,2,1,15,0,0,0,0,25,1,0,0,39,0,1,4,3,33,3,0,1,59,38,0,6,24,74,0,4,0,7,14,0,20,16,0,0,21,3,0,0
"1135136",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"573223",1,0,9,0,3,1,0,7,0,4,0,0,0,0,4,1,0,0,0,1,2,0,8,1,0,0,0,4,3,0,1,14,0,4,0,4,56,9,6,6,66,69,0,1,6,237,0,9,0,0,24,2,14,3,0,0,40,16,0,0
"141607",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"1062748",2,0,27,7,10,3,0,5,18,11,0,10,12,0,8,0,8,0,0,0,10,37,24,11,37,0,12,28,7,3,14,99,4,70,16,8,115,6,3,6,121,233,0,9,86,1721,7,8,0,6,21,5,45,22,1,4,54,28,0,0
"4308264",1,0,1,0,0,0,0,5,0,1,0,0,0,0,3,0,1,0,0,0,0,0,4,1,0,0,2,0,0,0,0,1,0,0,2,0,5,1,0,2,5,3,1,2,0,23,0,1,0,0,6,0,1,3,0,0,1,1,0,0
"153982",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,2,2,1,7,1,0,0,4,29,0,0,2,8,0,3,0,0,0,0,1,0,0,0,4,4,0,0
"848816",1,1,4,0,0,0,0,8,2,6,0,0,0,0,10,0,0,0,5,0,4,1,14,0,1,0,0,5,0,0,0,10,0,1,5,2,18,1,1,3,32,27,0,8,5,135,0,2,0,0,6,4,16,7,0,0,18,2,0,2
"900959",1,0,6,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,9,0,1,0,0,6,0,0,0,19,23,0,1,11,0,0,0,0,0,0,0,9,2,0,0,3,0,0,0
"1097208",1,0,0,0,0,12,2,0,3,3,8,1,1,0,0,1,0,5,0,0,0,1,1,6,3,0,3,0,1,3,1,0,1,4,1,1,0,2,2,0,0,0,1,0,0,8,1,1,78,0,1,2,0,0,2,3,0,0,0,5
"1049393",0,1,76,3,24,1,0,24,8,23,0,0,0,3,84,0,0,0,0,0,12,11,32,2,5,0,5,33,10,0,3,258,0,28,119,78,159,4,0,18,171,220,0,8,111,397,2,27,0,15,57,1,106,216,0,2,54,12,0,0
"816671",0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,1,0,4,1,1,0,0,0,0,1,0,0,0
"947354",0,1,3,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,31,0,5,1,2,6,2,1,1,11,8,0,1,11,6,0,0,0,1,2,0,11,12,0,0,2,1,0,1
"242829",0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,1,0,0,10,2,0,1,3,21,0,3,3,24,0,0,0,0,3,0,0,2,0,0,5,9,0,0
"585394",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1075600",0,1,16,1,4,0,0,17,1,6,0,0,0,0,5,0,0,0,0,0,9,2,60,4,0,2,1,4,1,0,2,61,0,1,4,3,99,7,0,8,111,40,0,39,56,424,3,10,2,5,26,0,31,9,0,0,29,9,1,0
"742260",0,1,0,3,0,0,0,4,1,0,0,20,0,0,1,0,3,0,0,0,0,0,17,1,0,0,3,0,3,0,6,0,5,0,1,0,0,3,1,5,0,1,0,7,0,994,2,1,0,0,11,5,0,1,0,0,0,3,0,2
"962380",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"573135",0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,1,0,7,9,0,2,2,8,0,1,0,0,2,1,0,0,0,0,2,0,0,0
"1106733",0,1,0,0,0,0,0,0,1,1,0,0,0,0,18,0,1,0,10,0,0,2,0,0,0,0,0,0,0,0,0,14,0,1,11,6,13,0,0,0,4,6,0,1,4,23,1,3,0,0,0,0,5,4,0,0,9,4,0,0
"1052930",0,1,44,1,7,0,0,7,6,16,1,0,0,0,2,0,0,0,1,0,10,1,5,0,1,0,1,9,0,0,2,159,1,2,7,4,166,7,0,10,134,78,0,3,47,77,0,6,0,14,35,0,41,34,0,1,60,10,3,0
"574416",0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,18,0,0,0,0,2,0,0,2,0,0,0,1,0,0
"1003206",0,1,7,0,5,0,0,3,1,5,0,0,0,0,6,0,0,0,0,0,6,0,1,0,1,0,0,6,1,0,2,36,0,4,7,4,48,5,5,10,18,40,0,2,27,3,0,8,0,1,17,1,18,13,0,0,31,2,0,0
"590091",0,1,1,1,1,0,0,25,0,2,0,0,0,0,14,0,2,0,0,0,1,2,74,2,1,0,0,1,6,0,1,2,0,2,37,15,17,9,0,10,8,73,3,47,0,254,1,3,0,0,11,2,2,8,0,0,7,8,0,0
"833731",0,1,0,9,1,0,1,10,4,0,4,6,6,0,3,0,9,14,2,1,2,21,0,10,12,0,7,0,9,27,9,14,3,23,0,2,3,1,2,3,0,2,2,2,2,123,14,2,16,3,0,4,3,0,0,24,0,0,2,6
"816056",0,1,0,3,0,0,0,49,1,6,0,1,0,0,21,0,2,0,6,0,0,0,70,3,0,0,3,0,3,0,6,0,0,0,9,3,12,18,0,41,1,34,0,72,3,819,5,4,1,0,123,0,0,6,0,0,5,41,0,1
"1078248",0,3,7,0,0,0,0,7,0,1,0,1,0,0,5,0,1,0,1,0,0,0,6,0,1,0,0,1,0,0,0,15,1,2,2,3,6,0,2,2,21,14,0,3,26,119,0,2,0,2,4,18,10,5,0,0,14,0,0,7
"1614883",0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"1088618",0,1,0,2,0,0,0,24,0,4,0,0,0,0,24,0,0,0,0,0,1,4,43,3,1,0,2,0,7,0,10,2,0,0,25,14,6,7,0,20,0,9,0,26,0,862,4,3,2,0,59,0,0,16,0,1,1,10,0,0
"573731",0,1,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,2,1,0,0,0,0,0,9,3,19,0,1,0,4,0,38,0,0,0,0,18,5,0,0,0,0,0,3,0,0
"529888",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0,0,3,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0
"590690",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,6,1,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"1108960",0,0,3,1,2,0,3,7,0,12,0,0,0,3,8,0,1,0,0,0,0,0,7,2,0,0,0,2,1,0,2,15,0,3,15,9,13,8,21,7,9,46,0,1,5,59,0,7,0,2,49,3,11,9,0,2,9,10,1,1
"1033426",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,4,0,0,2,3,0,0,0,2,3,2,0,0,1,18,0,2,0,2,8,0,3,1,0,0,1,2,0,0
"897411",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,1,3,0,1,0,0,3,0,0,0,0,0,2,0,0,0
"732255",0,0,1,0,1,0,0,16,0,4,0,0,0,0,10,0,0,0,0,0,2,0,2,0,0,0,1,1,1,0,1,12,0,1,3,4,1,0,0,4,8,17,0,1,1,136,1,4,0,1,12,0,3,7,0,1,1,1,0,0
"688259",0,0,11,0,4,0,0,3,1,3,0,0,1,1,6,0,0,0,0,0,5,2,4,1,1,0,0,3,0,0,0,23,0,1,12,3,37,3,0,4,46,43,0,3,31,22,0,10,0,1,9,0,14,6,0,0,19,4,0,0
"203611",0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,11,2,0,0,7,6,0,0,3,1,0,1,0,0,1,0,1,0,0,0,5,0,0,0
"2011775",0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,7,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,2,0,0
"591642",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"545782",0,0,2,1,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,8,2,0,0,0,2,1,0,0,17,0,0,2,3,16,2,0,2,13,19,0,3,2,153,0,3,0,0,7,0,7,3,0,0,9,1,0,0
"829012",0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,1,0,5,2,0,0,2,6,0,0,0,1,10,0,1,0,0,0,0,1,0,0
"1051744",0,0,20,0,8,1,0,14,1,19,0,3,2,0,5,0,2,0,0,0,14,0,4,0,5,1,2,36,1,0,25,112,0,7,29,12,128,42,10,61,128,135,0,3,122,355,3,23,2,4,229,4,40,26,0,0,42,28,4,3
"1011361",0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,1,0,2,2,1,1,0,0,5,0,3,3,1,4,0,1,0,69,0,0,0,0,17,3,1,0,0,0,2,0,0,5
"574686",0,0,3,0,0,0,0,0,1,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,35,0,0,0,0,3,0,0,0,5,3,0,0,3,1,0,0,0,0,0,0,11,1,0,0,2,0,0,0
"998524",0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,3,1,2,0,0,2,3,3,0,1,1,22,0,1,0,1,2,0,1,0,0,0,2,0,0,0
"1072787",0,0,69,0,10,0,0,0,1,7,1,0,2,0,3,0,0,0,0,0,8,0,1,0,1,0,0,7,1,0,0,37,0,0,2,0,157,1,1,2,170,95,0,0,71,8,0,7,0,6,11,0,20,5,0,0,103,11,0,0
"245814",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
