"","ML7","Bergen","LG"
"4332821",2,20,2
"New.CleanUp.ReferenceOTU2220",1,53,0
"New.CleanUp.ReferenceOTU3928",0,0,15
"New.CleanUp.ReferenceOTU5575",0,14,0
"New.CleanUp.ReferenceOTU10228",73,1116,1
