"","ML7","Bergen","LG"
"New.CleanUp.ReferenceOTU13142",87,4,18
"New.CleanUp.ReferenceOTU13145",0,0,33
"New.CleanUp.ReferenceOTU13354",2,0,0
"New.CleanUp.ReferenceOTU13461",1,1,0
"New.CleanUp.ReferenceOTU13747",0,13,6
"New.CleanUp.ReferenceOTU13757",61,25,0
"New.CleanUp.ReferenceOTU13894",8,2,0
"New.CleanUp.ReferenceOTU14103",0,2,0
"New.CleanUp.ReferenceOTU14361",0,0,2
"New.CleanUp.ReferenceOTU14413",0,3,2
"New.CleanUp.ReferenceOTU14454",6,0,0
"New.CleanUp.ReferenceOTU14573",8,0,2
"New.CleanUp.ReferenceOTU14575",30,60,1
"New.CleanUp.ReferenceOTU14585",0,0,4
"New.CleanUp.ReferenceOTU14640",28,23,2
"New.CleanUp.ReferenceOTU14772",0,3,20
"New.CleanUp.ReferenceOTU14853",0,6,0
"New.CleanUp.ReferenceOTU14912",0,9,0
"New.CleanUp.ReferenceOTU15548",30,14,0
"New.CleanUp.ReferenceOTU15675",1,0,1
"New.CleanUp.ReferenceOTU15873",2,0,0
