"","ERR1191415","ERR1191416","ERR1191417","ERR1191418","ERR1191419","ERR1191420","ERR1191421","ERR1191422","ERR1191423","ERR1191424","ERR1191425","ERR1191426","ERR1191427","ERR1191428","ERR1191429","ERR1191430","ERR1191431","ERR1191432","ERR1191433","ERR1191434","ERR1191435","ERR1191436","ERR1191437","ERR1191438","ERR1191439","ERR1191440","ERR1191441","ERR1191442","ERR1191443","ERR1191444","ERR1191445","ERR1191446","ERR1191447","ERR1191448","ERR1191449","ERR1191450","ERR1191451","ERR1191452","ERR1191453","ERR1191454","ERR1191455","ERR1191456","ERR1191457","ERR1191458","ERR1191459","ERR1191460","ERR1191461","ERR1191462","ERR1191463","ERR1191464","ERR1191465","ERR1191466","ERR1191467","ERR1191468","ERR1191469","ERR1191470","ERR1191471","ERR1191472","ERR1191473","ERR1191474","ERR1191475","ERR1191476","ERR1191477","ERR1191478","ERR1191479","ERR1191480","ERR1191481","ERR1191482","ERR1191483","ERR1191484","ERR1191485","ERR1191486","ERR1191487","ERR1191488","ERR1191489","ERR1191490","ERR1191491","ERR1191492","ERR1191493","ERR1191494","ERR1191495","ERR1191496","ERR1191497","ERR1191498","ERR1191499","ERR1191500","ERR1191501","ERR1191502","ERR1191503","ERR1191504","ERR1191505","ERR1191506"
"4460853",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"341186",1,0,0,0,4,1,0,0,13,0,0,10,0,2,2,9,24,9,9,8,0,1,4,2,0,0,1,6,11,0,25,0,2,1,1,2,2,0,2,0,0,23,0,0,0,8,0,1,0,0,0,0,0,1,0,8,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"812461",1,14,7,1,18,2,9,2,4,4,11,2,0,0,5,3,4,6,0,5,2,4,0,5,4,1,0,0,6,0,4,4,15,1,6,4,7,8,0,2,0,0,13,39,0,0,0,0,0,0,4,1,0,1,0,2,0,0,1,2,2,0,1,2,0,2,4,3,1,1,0,3,0,0,1,0,0,1,0,0,0,2,0,4,1,3,5,2,0,0,1,2
"70738",5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,4,2,0,0,0,8,0,0,0,0,2,1,0,0,0,0,0,4,1,5,0,1,0,1,0,1,2,1,0,0,0,3,0,0,0,0,0,2,1,2,0,4,2,20,0,0,0,0,0,5,1,0,0,1,1,6,0,0,0,0,0,1,0,0
"277351",3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,3,3,3,0,0,0,0,0,0,1,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1139074",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,3,1,2,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"534327",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,12,1,2,16,1,2,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"590741",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,5,3,0,2,0,5,1,0,1,0,1,0,9,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223209",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"586650",850,1,58,0,1171,1200,94,2102,402,7,3,11,1,5,2,31,25,3,43,2,4,3,39,19,26,1,396,336,37,681,24,6,8,732,6,21,13,1254,1365,36,1713,352,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"807522",123,37,152,89,16,34,14,14,77,49,102,114,13,48,55,144,188,103,87,42,15,76,57,257,110,103,74,87,236,102,43,167,59,125,99,199,240,69,89,33,10,47,39,474,2,4,2,5,1,2,0,2,2,1,2,1,0,2,8,0,0,1,0,2,0,2,5,1,0,39,1,2,3,3,0,1,2,2,0,0,3,52,0,3,1,2,1,1,1,55,1,0
"512157",5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,6,2,0,2,0,0,0,1,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169324",1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"324039",14,22,21,14,51,5,44,1,167,50,51,85,2,5,2,165,187,118,62,47,1,12,13,22,16,11,15,7,229,4,65,22,34,7,29,16,33,90,2,22,0,117,42,175,21,3,8,2,17,15,11,28,19,6,5,13,43,4,7,0,42,57,75,50,37,13,2,19,16,2,0,0,390,66,167,116,91,7,0,1,26,0,0,0,33,19,151,30,133,47,0,0
"140014",3,2,0,2,1,1,1,1,1,0,1,2,8,2,10,0,5,8,13,6,6,10,2,2,1,2,1,6,16,1,1,3,0,2,0,0,1,0,0,2,1,2,3,1,3,1,8,4,8,3,2,9,3,2,2,2,1,0,7,0,0,2,0,5,0,10,3,2,0,0,2,0,4,3,2,5,3,0,0,0,1,0,0,0,0,0,5,3,3,0,0,0
