"","Newark1","Newark125","Newark5","AthersFISH","Pack5","Athers1","Derby125","Rush125","SBSouth01","Pack125","SBNorthFISH","WAInf","Pack1","NewarkInf","Derby1","Strong1","NW5","OW5","SBNorthInf","WA125","RushInf","OW125","WA1","NW125","Rush1","WA01","SBNew125","Strong01","Coal5","Lough5","Leek125","Coal125","OW01","LeekFISH","DerbyFISH","Lough125","SBSouthInf","StrongInf","Finham5","Strong125","SBNorth1","SBNorth5","Coal1","NWFISH","SBSouth125","SBNorth125","Leek5","NW1","SBSouth5","Finham01","Strong5","Finham125","OWFISH","OW1","Lough1","Athers125","SBNew1","NW01","SBSouth1","SBNew5","Eccles1","Rush01","Rush5","Coal01","WAFISH","WA5","CoalFISH","RushFISH","Eccles5","SBNewFISH","StrongFISH","Eccles125","Eccles01","CoalInf","EcclesInf","SBNew01","LeekInf","EcclesFISH","SBNorth01","FinhamInf","Finham1","OWInf","Athers5","LoughInf","Leek01","Leek1","Pack01","DerbyInf","FinhamFISH","PackInf","PackFISH","AthersInf","NWInf","SBNewInf","SBSouthFISH","Athers01","LoughFISH","Derby01","Lough01","NewarkFISH","Newark01","Derby5"
"4329000",0,0,0,0,10,0,0,0,0,3,0,1,5,0,0,0,0,0,0,1,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
"1491",1,7,2,2,243,0,0,0,0,222,1,28,239,0,2,0,0,0,7,56,35,0,80,0,0,57,0,0,0,1,0,3,0,0,0,0,28,22,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,76,49,0,5,6,0,0,1,1,2,2,0,0,1,0,0,0,0,2,0,0,0,216,0,0,0,255,0,0,27,0,1,1,0,0,3,0,0
"537655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4475594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New.ReferenceOTU1310",0,0,0,2,3,0,8,13,1,2,0,1,1,0,15,2,14,4,2,8,4,8,2,10,7,5,14,1,5,3,0,24,1,0,0,10,4,4,12,3,2,6,5,1,0,4,0,11,0,4,2,10,0,3,7,4,5,1,2,4,1,3,9,2,1,3,1,0,2,0,0,6,1,0,0,0,0,1,0,0,5,0,8,0,0,1,0,0,0,0,2,0,0,0,1,8,0,0,3,0,0,0
"New.ReferenceOTU604",0,0,0,3,0,0,3,1,1,0,1,1,0,0,9,0,3,0,0,5,2,0,0,0,2,0,4,0,5,5,4,9,0,0,1,8,0,2,5,0,1,1,0,0,0,1,1,3,1,0,0,6,1,0,9,1,3,0,2,1,2,0,2,1,0,2,0,2,3,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,7,0,0,0
"New.ReferenceOTU1328",0,0,0,0,0,0,7,0,0,0,1,1,0,0,6,1,3,0,0,7,1,0,6,2,0,1,1,0,1,2,0,0,0,0,0,3,1,1,0,0,3,1,1,0,1,0,0,2,0,0,1,4,2,1,0,0,0,0,0,2,3,0,1,0,0,1,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0
"New.ReferenceOTU958",0,0,2,0,15,0,0,0,0,7,0,11,19,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
"New.ReferenceOTU418",0,0,0,0,1,0,2,2,0,1,0,1,1,0,6,0,4,4,1,11,0,0,0,2,4,0,4,0,4,3,2,4,0,0,0,2,3,1,3,0,2,1,0,1,0,0,0,4,0,0,1,7,0,0,3,3,4,2,2,2,2,0,0,1,0,0,1,0,9,0,0,7,1,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0
"New.ReferenceOTU1570",0,0,0,0,0,0,31,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"New.ReferenceOTU986",0,1,0,1,6,3,44,34,5,1,1,6,3,0,43,1,33,3,0,19,0,6,4,17,11,2,60,0,4,13,3,18,5,0,0,18,4,8,15,1,4,8,2,0,4,10,0,22,4,6,2,11,2,4,18,6,12,7,7,14,3,13,26,5,1,6,0,7,2,6,0,7,0,0,0,7,0,0,3,0,8,0,10,0,0,1,0,0,4,0,2,0,0,1,5,6,2,5,7,0,0,0
"New.ReferenceOTU212",0,1,0,1,0,0,13,9,2,0,1,2,1,0,21,0,8,5,3,6,1,1,2,5,5,0,18,1,8,3,1,10,3,0,0,9,7,4,8,2,1,3,2,0,1,3,0,9,1,0,1,10,0,0,6,12,8,1,1,4,9,0,2,2,0,5,0,2,3,4,0,3,1,0,0,1,0,0,1,0,4,0,5,0,0,0,0,0,4,0,0,0,0,2,1,0,3,1,5,0,0,0
