Name,TaxLevel,Metabolism
Corynebacterium,Genus,AerobicResp
Couchioplanes,Genus,AerobicResp
Crocinitomix,Genus,AerobicResp
Cronobacter,Genus,AerobicResp
Cryobacterium,Genus,AerobicResp
Cryomorpha,Genus,AerobicResp
Cryptosporangium,Genus,AerobicResp
Curtobacterium,Genus,AerobicResp
Cytophaga,Genus,AerobicResp
Dactylosporangium,Genus,AerobicResp
Dechloromonas,Genus,AerobicResp
Deferribacter,Genus,FeIII_reducer
Defluvibacter,Genus,AerobicResp
Deinococcus,Genus,AerobicResp
Delftia,Genus,AerobicResp
Dendrosporobacter,Genus,Ferm
Dermabacter,Genus,AerobicResp
Dermacoccus,Genus,AerobicResp
Dermatophilus,Genus,AerobicResp
Desulfacinum,Genus,SRB_CO2
Desulfallaceae,Family,Ferm
Desulfallas,Genus,Ferm
Desulfarcales,Order,SRB_Acetate
Desulfarculaceae,Genus,Ferm
Desulfarculus,Genus,SRB_CO2
Desulfatiferula,Genus,Ferm
Desulfatiglans,Genus,SRB_CO2
Desulfatirhabdium,Genus,Ferm
Desulfatitalea,Genus,SRB_CO2
Desulfitobacterium,Genus,Ferm
Desulfobacca,Genus,SRB_CO2
Desulfobaccaceae,Genus,SRB_CO2
Desulfobacter,Genus,SRB_CO2
Desulfobacteraceae,Family,Ferm
Desulfobacterales,Order,Ferm
Desulfobacteriaceae,Family,SRB_CO2
Desulfobacterium,Genus,SRB_CO2
Desulfobacula,Genus,SRB_CO2
Desulfobaculum,Genus,Ferm
Desulfobotulus,Genus,Ferm
Desulfobulbaceae,Genus,Ferm
Desulfobulbus,Genus,Ferm
Desulfocapsa,Genus,SRB_Acetate
Desulfocarbo,Genus,SRB_CO2
Desulfocastanea,Genus,Ferm
Desulfocella,Genus,SRB_Acetate
Desulfococcus,Genus,Ferm
Desulfoconvexum,Genus,Ferm
Desulfocucumaceae,Family,Ferm
Desulfocucumis,Genus,Ferm
Desulfocurvus,Genus,Ferm
Desulfofaba,Genus,SRB_CO2
Desulfofalx,Genus,Ferm
Desulfofarcimen,Genus,SRB_CO2
Desulfofarciminaceae,Genus,SRB_CO2
Desulfofrigus,Genus,Ferm
Desulfofundulus,Genus,Ferm
Desulfofustis,Genus,SRB_Acetate
Desulfoglaeba,Genus,SRB_CO2
Desulfohalobiaceae,Genus,Ferm
Desulfohalobium,Genus,Ferm
Desulfohalotomaculum,Genus,Ferm
Desulfolucanica,Genus,SRB_CO2
Desulfoluna,Genus,Ferm
Desulfomicrobiaceae,Genus,Ferm
Desulfomicrobium,Genus,Ferm
Desulfomonile,Genus,Ferm
Desulfonatronaceae,Genus,Ferm
Desulfonatronobacter,Genus,SRB_CO2
Desulfonatronospira,Genus,Ferm
Desulfonatronovibrio,Genus,Ferm
Desulfonatronum,Genus,Ferm
Desulfonauticus,Genus,SRB_Acetate
Desulfonema,Genus,SRB_CO2
Desulfonispora,Genus,Ferm
Desulfopila,Genus,Ferm
Desulfoplanes,Genus,Ferm
Desulfoprunum,Genus,SRB_CO2
Desulforadius,Genus,SRB_Acetate
Desulforamulus,Genus,Ferm
Desulforegula,Genus,SRB_Acetate
Desulforhabdus,Genus,SRB_CO2
Desulforhopalus,Genus,Ferm
Desulfosalsimonas,Genus,SRB_CO2
Desulfosarcina,Genus,Ferm
Desulfoscipio,Genus,Ferm
Desulfosoma,Genus,SRB_CO2
Desulfospira,Genus,SRB_CO2
Desulfosporosinus,Genus,Ferm
Desulfotalea,Genus,Ferm
Desulfothermaceae,Family,SRB_CO2
Desulfothermus,Genus,SRB_CO2
Desulfotignum,Genus,Ferm
Desulfotomaculaceae,Family,Ferm
Desulfotomaculum,Genus,Ferm
Desulfotruncus,Genus,Ferm
Desulfovectis,Genus,SRB_Acetate
Desulfovermiculus,Genus,SRB_CO2
Desulfovibrio,Genus,Ferm
Desulfovibrionaceae,Family,SRB_Acetate
Desulfovibrionales,Order,Ferm
Desulfovirga,Genus,SRB_CO2
Desulfovirgula,Genus,Ferm
Desulfurella,Genus,Ferm
Desulfurellaceae,Family,SRB_Acetate
Desulfurellales,Order,SRB_CO2
Desulfurispira,Genus,SRB_Acetate
Desulfurispirillum,Genus,SRB_Acetate
Desulfurispora,Genus,Ferm
Desulfurisporaceae,Family,Ferm
Desulfurivibrio,Genus,SRB_Acetate
Desulfurobacterium,Genus,SRB_Acetate
Desulfurococcaceae,Genus,Ferm
Desulfurococcales,Order,Ferm
Desulfurococcus,Genus,SRB_Acetate
Desulfuromonaceae,Family,Ferm
Desulfuromonales,Order,Ferm
Desulfuromonas,Genus,Ferm
Desulfuromusa,Genus,SRB_CO2
Devosia,Genus,AerobicResp
Dichelobacter,Genus,Ferm
Dictyoglomus,Genus,Ferm
Dietzia,Genus,AerobicResp
Dorea,Genus,Ferm
Dyadobacter,Genus,AerobicResp
Dysgonomonas,Genus,AerobicResp
Echinicola,Genus,AerobicResp
Edaphobacter,Genus,AerobicResp
Edwardsiella,Genus,AerobicResp
Eikenella,Genus,AerobicResp
Elizabethkingia,Genus,AerobicResp
Enhydrobacter,Genus,AerobicResp
Ensifer,Genus,AerobicResp
Enterobacter,Genus,Ferm
Entomoplasma,Genus,Ferm
Erwinia,Genus,AerobicResp
Erysipelothrix,Genus,AerobicResp
Escherichia,Genus,AerobicResp
Eubacterium,Genus,Ferm
Euzebya,Genus,AerobicResp
Ewingella,Genus,AerobicResp
